,xg_object,yg_object,ww_object,yg_contaminate,ww_contaminate,halfdy_contaminate_in,halfdy_contaminate_out,apcorr_contaminate_in,apcorr_contaminate_out
137,676,543,10989.79290560579,551,7764.17848913933,2,13,0.8910505836575877,0.9831370473537606
138,677,543,11014.241674808954,551,7788.655153616859,2,13,0.8910505836575877,0.9831370473537606
139,678,543,11038.690444012122,551,7813.131818094388,2,13,0.8910505836575876,0.9831370473537606
140,679,543,11063.139213215289,551,7837.608482571916,2,13,0.8910505836575876,0.9831370473537604
141,680,543,11087.587982418458,551,7862.085147049445,2,13,0.8910505836575875,0.9831370473537605
142,681,543,11112.036751621621,551,7886.561811526975,2,13,0.8910505836575877,0.9831370473537606
143,682,543,11136.48552082479,551,7911.038476004504,2,13,0.8910505836575876,0.9831370473537606
144,683,543,11160.934290027957,551,7935.5151404820335,2,13,0.8910505836575876,0.9831370473537606
145,684,543,11185.383059231122,551,7959.991804959563,2,13,0.8910505836575877,0.9831370473537606
146,685,543,11209.83182843429,551,7984.468469437093,2,13,0.8910505836575877,0.9831370473537606
147,686,543,11234.280597637458,551,8008.945133914622,2,13,0.8910505836575876,0.9831370473537606
148,687,543,11258.729366840626,551,8033.42179839215,2,13,0.8910505836575877,0.9831370473537606
149,688,543,11283.17813604379,551,8057.898462869679,2,13,0.8910505836575876,0.9831370473537606
150,689,543,11307.626905246958,551,8082.375127347208,2,13,0.8910505836575876,0.9831370473537606
151,690,543,11332.075674450127,551,8106.851791824737,2,13,0.8910505836575876,0.9831370473537606
152,691,543,11356.52444365329,551,8131.328456302265,2,13,0.8910505836575877,0.9831370473537606
153,692,543,11380.97321285646,551,8155.805120779796,2,13,0.8910505836575876,0.9831370473537605
154,693,543,11405.421982059626,551,8180.281785257325,2,13,0.8910505836575876,0.9831370473537606
155,694,543,11429.870751262795,551,8204.758449734854,2,13,0.8910505836575876,0.9831370473537606
156,695,543,11454.319520465959,551,8229.235114212384,2,13,0.8910505836575875,0.9831370473537604
157,696,543,11478.768289669128,551,8253.711778689913,2,13,0.8910505836575876,0.9831370473537606
158,697,543,11503.217058872295,551,8278.18844316744,2,13,0.8910505836575876,0.9831370473537606
159,698,543,11527.665828075462,551,8302.66510764497,2,13,0.8910505836575877,0.9831370473537606
160,699,543,11552.114597278627,551,8327.141772122499,2,13,0.8910505836575876,0.9831370473537606
161,700,543,11576.563366481796,551,8351.618436600029,2,13,0.8910505836575876,0.9831370473537606
162,701,543,11601.012135684963,551,8376.095101077557,2,13,0.8910505836575875,0.9831370473537604
163,702,543,11625.46090488813,551,8400.571765555087,2,13,0.8910505836575877,0.9831370473537605
164,703,543,11649.909674091296,551,8425.048430032617,2,13,0.8910505836575877,0.9831370473537606
165,704,543,11674.358443294463,551,8449.525094510145,2,13,0.8910505836575875,0.9831370473537606
166,705,543,11698.807212497632,551,8474.001758987673,2,13,0.8910505836575877,0.9831370473537606
167,706,544,11723.255981700795,551,8498.478423465203,1,12,0.82626953125,0.9808194986072425
168,707,544,11747.704750903964,551,8522.955087942733,1,12,0.82626953125,0.9808194986072425
169,708,544,11772.153520107131,551,8547.431752420262,1,12,0.82626953125,0.9808194986072424
170,709,544,11796.6022893103,551,8571.90841689779,1,12,0.82626953125,0.9808194986072424
171,710,544,11821.051058513465,551,8596.38508137532,1,12,0.8262695312499999,0.9808194986072423
172,711,544,11845.499827716634,551,8620.86174585285,1,12,0.82626953125,0.9808194986072425
173,712,544,11869.9485969198,551,8645.338410330378,1,12,0.8262695312499999,0.9808194986072424
174,713,544,11894.397366122968,551,8669.815074807908,1,12,0.82626953125,0.9808194986072425
