,ww,flam_smooth
305,11165.605075107556,1.2882270956674386e-17
306,11189.484726781178,1.2830777219305974e-17
307,11189.616018359597,1.2812780509327912e-17
308,11213.495028486364,1.2772576108188768e-17
309,11213.62696161164,1.2779580117283867e-17
310,11237.505330191549,1.2749524464687097e-17
311,11237.637904863685,1.2766861829228084e-17
312,11261.515631896731,1.2752009711262231e-17
313,11261.648848115727,1.2837494241449985e-17
314,11285.525933601917,1.2821964608808822e-17
315,11285.65979136777,1.28439346751795e-17
316,11309.5362353071,1.2820746953688193e-17
317,11309.670734619813,1.2841961675158163e-17
318,11333.546537012286,1.2821053410923807e-17
319,11333.681677871855,1.2859325154399205e-17
320,11357.556838717468,1.2831960939428666e-17
321,11357.692621123899,1.2915112698569427e-17
322,11381.567140422649,1.2855282979252147e-17
323,11381.703564375945,1.2991239792095605e-17
324,11405.577442127837,1.2919112926811863e-17
325,11405.714507627988,1.3015716714644069e-17
326,11429.587743833015,1.2930415818627786e-17
327,11429.725450880027,1.3061216827713902e-17
328,11453.598045538201,1.292426820267748e-17
329,11453.736394132073,1.3026980746204747e-17
330,11477.608347243386,1.292906414635527e-17
331,11477.747337384117,1.2888807310648925e-17
332,11520.153802681367,1.3103574760366704e-17
333,11520.17171339986,1.3000542679844814e-17
334,11565.693144285771,1.2986695769978374e-17
335,11565.710903930763,1.2888419274357954e-17
336,11611.232485890174,1.2847148359136734e-17
337,11611.250094461668,1.2804549492358392e-17
338,11656.771827494578,1.276168091913184e-17
339,11656.78928499257,1.2659260918854465e-17
340,11702.311169098984,1.2632335647456562e-17
341,11702.328475523474,1.2513511479295672e-17
342,11747.850510703383,1.245102008419552e-17
343,11747.86766605438,1.23537919702998e-17
344,11793.389852307788,1.2285545072790505e-17
345,11793.406856585281,1.2225891028760695e-17
346,11838.929193912192,1.2184355992783594e-17
347,11838.94604711619,1.2117378993635339e-17
348,11884.468535516597,1.2020860735318135e-17
349,11884.485237647088,1.1971472983018734e-17
350,11930.007877121001,1.1920971792671154e-17
351,11930.024428177992,1.1901088933334485e-17
352,11975.547218725404,1.187240935433639e-17
353,11975.563618708897,1.1840969765895634e-17
354,12021.086560329808,1.1814252951197965e-17
355,12021.1028092398,1.1812601692479626e-17
356,12066.625901934209,1.179902265057919e-17
357,12066.641999770703,1.1778541370854222e-17
358,12112.165243538611,1.1780572177208011e-17
359,12112.181190301606,1.1792484919083965e-17
360,12157.704585143016,1.1766718875155909e-17
361,12157.72038083251,1.1729020103343904e-17
362,12203.24392674742,1.1709852641746907e-17
363,12203.259571363416,1.1678091280294804e-17
364,12248.783268351825,1.1668885469630314e-17
365,12248.798761894317,1.1628268145391304e-17
366,12294.322609956229,1.1588150102217214e-17
