,Unnamed: 0,ww,cps,apcorr,drzblot_apcorr,sensitivity,wwperpix,flam,dateobs,flam_smooth
42,42,11793.389852307788,5.127124630152485,0.9294925204158986,1.0017164337471185,9766737495545562.0,45.5393416044044,1.2380748848839757e-17,202001,1.2285545072790506e-17
42,42,11793.406856585281,5.107251502421081,0.9294923694946652,0.9970664064643912,9766815385043534.0,45.539190530904314,1.2390220822959529e-17,201911,1.2225891028760695e-17
43,43,11838.929193912192,5.11556109064748,0.9290883366096744,1.0022804662708,9962946183826666.0,45.5393416044044,1.2108001583562485e-17,202001,1.2184355992783596e-17
43,43,11838.946047116187,5.135002113726318,0.9290881870292916,0.9968755498794344,9963011944654312.0,45.53919053090249,1.2219875649394495e-17,201911,1.2117378993635339e-17
44,44,11884.468535516597,5.104371868311665,0.92868415280345,1.0026243414457792,1.0126590925684894e+16,45.53934160440258,1.1887376381468288e-17,202001,1.2020860735318135e-17
44,44,11884.485237647088,5.021115042116821,0.9286840045639184,0.9969554030546379,1.0126647219807942e+16,45.539190530904314,1.1759950334810604e-17,201911,1.1971472983018737e-17
45,45,11930.007877121001,5.209312401949665,0.9282799689972258,1.0028662998360278,1.0272819141496838e+16,45.53934160440258,1.1961399523831184e-17,202001,1.1920971792671156e-17
45,45,11930.024428177992,5.1681918872858885,0.9282798220985448,0.9974987048627648,1.0272871869721662e+16,45.539190530904314,1.1930817461695652e-17,201911,1.1901088933334483e-17
46,46,11975.547218725404,5.139694176852009,0.9278757851910014,1.0030563804514,1.041850095554109e+16,45.5393416044044,1.1639387019527605e-17,202001,1.187240935433639e-17
46,46,11975.563618708897,5.05855105057019,0.9278756396331712,0.9978944665949059,1.0418555826270056e+16,45.53919053090249,1.1514866838333794e-17,201911,1.1840969765895636e-17
47,47,12021.086560329808,5.328535400568745,0.9274716013847772,1.0032464994414898,1.0573068033930434e+16,45.53934160440258,1.1893558348782719e-17,202001,1.1814252951197966e-17
